Date, Open, High, Low, Close, Volume
01/06/22, 316.75, 316.75, 310.00, 310.50, 6300
12/31/21, 316.75, 316.75, 316.75, 316.75, 500
12/28/21, 310.25, 320.00, 310.25, 316.75, 300
12/24/21, 310.25, 310.25, 310.25, 310.25, 200
12/22/21, 310.25, 310.25, 310.25, 310.25, 100
12/21/21, 328.50, 328.50, 328.50, 328.50, 100
12/16/21, 329.75, 329.75, 329.75, 329.75, 13900
12/14/21, 334.00, 334.00, 310.00, 330.00, 600
12/09/21, 336.00, 336.00, 336.00, 336.00, 200
12/08/21, 336.00, 336.00, 336.00, 336.00, 100
12/07/21, 306.00, 306.00, 306.00, 306.00, 100
12/03/21, 339.75, 339.75, 339.75, 339.75, 7000
11/30/21, 340.00, 340.00, 340.00, 340.00, 5000
11/29/21, 345.00, 345.00, 345.00, 345.00, 200
11/26/21, 340.00, 340.00, 340.00, 340.00, 5500
11/25/21, 349.00, 349.00, 349.00, 349.00, 100
11/24/21, 340.00, 340.00, 340.00, 340.00, 5900
11/23/21, 340.00, 340.00, 340.00, 340.00, 4400
11/17/21, 316.00, 340.00, 316.00, 328.00, 200
11/12/21, 340.00, 340.00, 340.00, 340.00, 500
11/11/21, 340.00, 340.00, 340.00, 340.00, 1200
11/08/21, 349.00, 350.00, 340.00, 345.25, 15500
11/05/21, 350.00, 350.00, 340.00, 343.75, 800
11/04/21, 350.00, 350.00, 350.00, 350.00, 100
11/03/21, 350.00, 350.00, 350.00, 350.00, 3500
11/02/21, 350.00, 350.00, 350.00, 350.00, 17800
10/29/21, 360.00, 360.00, 360.00, 360.00, 100
10/28/21, 350.00, 350.00, 340.00, 349.50, 2600
10/27/21, 350.00, 350.00, 350.00, 350.00, 123300
10/26/21, 350.00, 350.00, 350.00, 350.00, 6800
10/25/21, 350.00, 350.00, 350.00, 350.00, 23100
10/22/21, 350.00, 350.00, 350.00, 350.00, 12800
10/21/21, 350.00, 350.00, 350.00, 350.00, 167500
10/19/21, 350.00, 350.00, 350.00, 350.00, 25300
10/18/21, 350.00, 350.00, 350.00, 350.00, 300
10/15/21, 350.00, 350.00, 340.00, 348.50, 2600
10/14/21, 340.00, 340.00, 340.00, 340.00, 100
10/13/21, 350.00, 350.00, 350.00, 350.00, 1300
10/08/21, 350.00, 350.00, 350.00, 350.00, 2000
10/07/21, 350.00, 350.00, 350.00, 350.00, 100
10/05/21, 350.25, 350.25, 350.25, 350.25, 800
10/04/21, 350.00, 350.00, 350.00, 350.00, 100
09/29/21, 350.00, 350.00, 350.00, 350.00, 1000
09/24/21, 350.00, 370.00, 330.00, 368.75, 106000
09/23/21, 350.00, 351.00, 350.00, 350.00, 4300
09/22/21, 350.00, 350.00, 350.00, 350.00, 1300
09/21/21, 350.00, 350.00, 330.00, 347.00, 2000
09/20/21, 350.00, 350.00, 350.00, 350.00, 4800
09/17/21, 360.00, 360.00, 350.00, 350.25, 6400
09/14/21, 360.00, 360.00, 360.00, 360.00, 7600
09/13/21, 360.00, 360.00, 360.00, 360.00, 200
09/10/21, 360.00, 360.00, 350.00, 359.25, 7700
09/09/21, 360.00, 360.00, 350.00, 358.00, 500
09/08/21, 360.00, 365.00, 331.00, 353.50, 4600
09/07/21, 360.00, 363.00, 360.00, 360.25, 1300
09/06/21, 365.00, 365.00, 365.00, 365.00, 1300
09/03/21, 360.00, 360.00, 360.00, 360.00, 400
09/02/21, 365.00, 365.00, 365.00, 365.00, 1000
08/31/21, 374.00, 374.00, 374.00, 374.00, 1000
08/30/21, 375.00, 375.00, 375.00, 375.00, 3000
08/25/21, 360.25, 360.25, 360.00, 360.00, 48400
08/24/21, 360.00, 370.00, 360.00, 360.75, 8000
08/23/21, 361.00, 361.00, 360.00, 360.00, 22800
08/20/21, 360.00, 360.00, 360.00, 360.00, 500
08/18/21, 360.00, 360.00, 360.00, 360.00, 1400
08/17/21, 358.75, 360.00, 358.75, 359.75, 6800
08/12/21, 360.00, 360.00, 335.50, 358.75, 1800
08/11/21, 360.00, 360.00, 360.00, 360.00, 1400
08/10/21, 362.00, 369.00, 360.00, 360.25, 16100
08/09/21, 370.00, 370.00, 350.00, 361.50, 5400
08/03/21, 370.00, 370.00, 370.00, 370.00, 14600
08/02/21, 375.00, 375.00, 375.00, 375.00, 200
07/30/21, 379.00, 379.00, 379.00, 379.00, 1300
07/29/21, 380.00, 380.00, 380.00, 380.00, 100
07/28/21, 370.00, 374.00, 370.00, 370.50, 900
07/27/21, 370.00, 375.00, 370.00, 370.50, 2800
07/26/21, 380.00, 385.00, 380.00, 384.50, 800
07/23/21, 370.00, 370.00, 370.00, 370.00, 2000
07/22/21, 356.75, 360.00, 356.75, 359.00, 32700
07/21/21, 356.00, 375.00, 356.00, 359.50, 5100
07/19/21, 360.00, 360.00, 350.00, 353.75, 5900
07/16/21, 385.00, 385.00, 385.00, 385.00, 200
07/15/21, 385.00, 385.00, 385.00, 385.00, 700
07/14/21, 356.00, 360.00, 356.00, 358.00, 1000
07/13/21, 356.00, 356.00, 356.00, 356.00, 4300
07/12/21, 355.00, 355.00, 355.00, 355.00, 200
07/08/21, 390.00, 390.00, 388.00, 390.00, 10100
07/06/21, 390.00, 392.00, 390.00, 390.00, 6300
07/05/21, 380.00, 390.00, 380.00, 389.75, 29400
07/02/21, 365.00, 380.00, 365.00, 375.50, 1100
07/01/21, 360.00, 385.00, 360.00, 379.75, 8000
06/30/21, 340.00, 356.00, 340.00, 350.50, 7100
06/29/21, 324.00, 324.00, 324.00, 324.00, 1000
06/28/21, 308.00, 320.00, 308.00, 313.50, 6300
06/25/21, 310.00, 310.00, 310.00, 310.00, 200
06/24/21, 315.00, 315.00, 315.00, 315.00, 400
06/22/21, 310.00, 325.00, 310.00, 320.25, 800
06/21/21, 305.00, 305.00, 305.00, 305.00, 12600
06/18/21, 305.00, 310.00, 305.00, 309.50, 1300
06/16/21, 305.00, 305.00, 305.00, 305.00, 1300
06/15/21, 306.00, 306.00, 305.00, 305.50, 400
06/14/21, 305.00, 306.25, 305.00, 305.25, 13700
06/11/21, 305.00, 308.00, 305.00, 306.25, 2400
06/10/21, 305.00, 305.00, 305.00, 305.00, 100
06/09/21, 300.00, 305.00, 300.00, 301.25, 3500
06/08/21, 304.00, 304.00, 300.00, 300.25, 18400
06/07/21, 300.00, 300.00, 299.00, 299.75, 4200
06/04/21, 280.00, 280.00, 279.75, 280.00, 7500
