Date, Open, High, Low, Close, Volume
04/05/22, 20.75, 20.75, 20.10, 20.25, 16900
04/04/22, 20.80, 21.00, 20.10, 20.75, 15100
04/01/22, 20.80, 20.80, 20.25, 20.50, 26000
03/31/22, 20.50, 21.00, 20.50, 20.90, 5100
03/30/22, 20.00, 21.00, 20.00, 20.00, 303300
03/29/22, 20.90, 20.90, 19.80, 20.25, 173200
03/28/22, 21.00, 21.00, 20.60, 20.95, 18600
03/25/22, 21.50, 21.50, 20.80, 21.20, 44500
03/24/22, 21.45, 21.50, 21.45, 21.45, 6800
03/23/22, 20.70, 21.00, 20.55, 21.00, 168300
03/22/22, 20.90, 21.00, 20.90, 20.95, 10600
03/21/22, 21.00, 21.00, 20.40, 20.55, 17700
03/18/22, 20.80, 20.80, 20.65, 20.70, 92500
03/17/22, 21.00, 21.00, 20.80, 20.95, 28200
03/16/22, 21.85, 21.85, 20.80, 20.90, 4100
03/15/22, 20.65, 21.00, 20.65, 21.00, 175900
03/14/22, 21.00, 21.00, 20.65, 20.80, 8300
03/11/22, 20.80, 20.80, 20.80, 20.80, 4800
03/10/22, 20.75, 20.80, 20.75, 20.80, 3500
03/09/22, 21.00, 21.00, 20.50, 20.50, 126500
03/08/22, 21.30, 21.30, 20.80, 20.95, 5800
03/07/22, 21.25, 21.30, 20.30, 20.75, 38200
03/04/22, 21.20, 21.25, 21.00, 21.10, 22100
03/03/22, 22.00, 22.00, 21.15, 21.30, 1600
03/02/22, 21.50, 21.50, 21.00, 21.15, 19100
03/01/22, 21.50, 21.50, 21.00, 21.50, 12700
02/28/22, 21.00, 21.50, 20.05, 20.90, 17000
02/25/22, 21.50, 21.50, 21.00, 21.30, 34300
02/24/22, 21.10, 21.50, 21.10, 21.45, 31300
02/23/22, 21.50, 21.50, 21.50, 21.50, 3600
02/22/22, 21.10, 21.50, 20.50, 20.60, 142700
02/21/22, 21.50, 21.50, 21.00, 21.35, 2500
02/18/22, 21.50, 21.50, 21.50, 21.50, 20200
02/17/22, 21.00, 21.00, 20.50, 20.55, 325000
02/16/22, 21.45, 21.45, 21.00, 21.10, 45100
02/15/22, 21.15, 21.50, 21.00, 21.05, 35700
02/14/22, 21.50, 21.50, 21.15, 21.45, 12600
