Date, Open, High, Low, Close, Volume
12/30/21, 15.25, 15.25, 15.25, 15.25, 400
12/29/21, 15.25, 15.25, 15.25, 15.25, 5700
12/28/21, 15.00, 15.00, 15.00, 15.00, 1000
12/24/21, 15.25, 15.25, 15.25, 15.25, 20200
12/15/21, 15.40, 15.40, 15.40, 15.40, 200
12/14/21, 15.05, 15.05, 15.05, 15.05, 100
12/10/21, 15.40, 15.40, 15.40, 15.40, 100000
12/09/21, 15.40, 15.40, 15.40, 15.40, 257900
12/08/21, 14.00, 14.00, 14.00, 14.00, 100
12/06/21, 14.00, 14.00, 14.00, 14.00, 300
12/03/21, 15.40, 15.40, 15.40, 15.40, 212700
12/02/21, 15.40, 15.40, 15.40, 15.40, 50100
12/01/21, 15.50, 15.50, 13.75, 15.40, 46200
11/29/21, 15.00, 15.00, 13.50, 14.20, 10400
11/25/21, 15.00, 15.00, 15.00, 15.00, 1200
11/24/21, 15.00, 15.00, 15.00, 15.00, 4000
11/23/21, 15.75, 15.75, 15.00, 15.45, 24500
11/22/21, 15.70, 15.75, 15.70, 15.75, 184200
11/19/21, 15.60, 16.20, 15.60, 15.60, 2900
11/18/21, 15.60, 15.60, 15.60, 15.60, 3200
11/17/21, 16.20, 16.20, 15.50, 15.60, 600
11/16/21, 16.20, 16.20, 16.20, 16.20, 1200
11/15/21, 16.20, 16.20, 16.20, 16.20, 3800
11/12/21, 16.20, 16.20, 16.20, 16.20, 3900
11/11/21, 16.70, 16.70, 16.20, 16.55, 300
11/10/21, 16.70, 16.95, 16.70, 16.85, 3400
11/08/21, 16.00, 16.00, 16.00, 16.00, 2600
11/05/21, 16.00, 16.95, 16.00, 16.00, 5700
11/04/21, 16.00, 16.00, 16.00, 16.00, 300
11/02/21, 15.50, 15.50, 15.50, 15.50, 500
10/29/21, 16.00, 16.00, 16.00, 16.00, 100
10/28/21, 15.35, 15.80, 15.35, 15.45, 1300
10/27/21, 15.50, 17.00, 15.35, 15.80, 400
10/26/21, 17.00, 17.00, 16.50, 16.95, 92600
10/25/21, 17.00, 17.00, 16.55, 16.60, 1000
10/22/21, 16.25, 16.55, 16.25, 16.45, 4400
10/21/21, 16.50, 16.70, 16.50, 16.50, 1300
10/19/21, 15.95, 16.50, 15.95, 16.25, 7300
10/18/21, 16.00, 16.00, 16.00, 16.00, 900
10/15/21, 16.70, 16.70, 16.00, 16.00, 5100
10/14/21, 16.00, 16.00, 15.35, 15.45, 700
10/13/21, 16.00, 16.00, 16.00, 16.00, 800
10/08/21, 16.00, 17.00, 16.00, 16.50, 400
10/06/21, 16.00, 16.50, 16.00, 16.50, 197900
10/05/21, 16.00, 16.00, 16.00, 16.00, 76400
10/04/21, 16.00, 16.00, 16.00, 16.00, 3000
10/01/21, 16.00, 16.00, 15.95, 16.00, 3000
09/29/21, 15.35, 15.35, 15.35, 15.35, 300
09/28/21, 15.30, 15.35, 15.30, 15.35, 600
09/27/21, 15.35, 16.00, 15.35, 15.80, 300
09/24/21, 15.35, 15.35, 15.35, 15.35, 1000
09/22/21, 16.00, 16.00, 16.00, 16.00, 100
09/21/21, 16.00, 16.00, 16.00, 16.00, 7200
09/20/21, 15.00, 15.00, 15.00, 15.00, 500
09/17/21, 15.50, 15.50, 15.50, 15.50, 100
09/16/21, 15.00, 15.00, 14.95, 15.00, 115900
09/15/21, 15.00, 15.00, 15.00, 15.00, 300
09/13/21, 15.00, 15.40, 15.00, 15.00, 208600
09/10/21, 14.95, 14.95, 14.95, 14.95, 100
09/08/21, 15.45, 15.45, 15.45, 15.45, 100
09/07/21, 15.00, 15.00, 15.00, 15.00, 13400
09/02/21, 14.50, 15.00, 14.50, 14.95, 5400
09/01/21, 14.05, 14.05, 14.05, 14.05, 400
08/30/21, 14.70, 15.50, 14.70, 15.00, 34400
08/26/21, 14.70, 14.70, 14.70, 14.70, 500
08/25/21, 14.50, 14.50, 14.50, 14.50, 600
08/24/21, 14.95, 15.00, 14.95, 15.00, 6400
08/19/21, 14.00, 14.95, 13.75, 14.40, 1000
08/16/21, 14.20, 14.95, 14.20, 14.90, 16000
08/13/21, 14.00, 14.00, 14.00, 14.00, 1100
08/12/21, 14.00, 14.00, 14.00, 14.00, 200
08/11/21, 14.95, 14.95, 14.95, 14.95, 100
08/10/21, 14.95, 14.95, 14.00, 14.05, 2100
08/09/21, 14.00, 14.00, 14.00, 14.00, 6300
08/06/21, 13.80, 13.80, 13.80, 13.80, 22600
08/05/21, 14.25, 14.95, 13.80, 14.55, 2100
08/04/21, 13.80, 14.95, 13.80, 14.30, 2000
08/03/21, 14.25, 14.25, 13.80, 13.80, 2000
08/02/21, 14.95, 14.95, 14.10, 14.85, 1100
07/30/21, 14.50, 14.95, 14.50, 14.75, 3500
07/28/21, 14.20, 14.50, 14.20, 14.35, 2400
07/27/21, 14.10, 14.20, 14.10, 14.10, 1600
07/26/21, 14.20, 14.20, 14.10, 14.20, 1200
07/23/21, 15.00, 15.00, 15.00, 15.00, 500
07/22/21, 14.00, 15.00, 14.00, 15.00, 55900
07/21/21, 14.10, 14.10, 14.10, 14.10, 100
07/19/21, 14.90, 15.00, 14.90, 15.00, 60400
07/16/21, 14.00, 14.00, 14.00, 14.00, 500
07/15/21, 14.90, 14.90, 14.90, 14.90, 100
07/13/21, 14.50, 14.50, 14.10, 14.10, 8300
07/12/21, 15.00, 15.00, 15.00, 15.00, 500
07/09/21, 14.00, 14.95, 14.00, 14.20, 11800
07/08/21, 14.00, 14.00, 14.00, 14.00, 1600
07/07/21, 14.00, 14.00, 14.00, 14.00, 4800
07/06/21, 14.00, 14.00, 14.00, 14.00, 50200
07/05/21, 13.70, 14.00, 13.55, 13.70, 10800
07/02/21, 14.00, 14.00, 14.00, 14.00, 25000
06/30/21, 14.00, 14.00, 14.00, 14.00, 218900
06/29/21, 14.00, 14.00, 14.00, 14.00, 500
06/28/21, 14.00, 14.95, 14.00, 14.05, 4600
06/25/21, 14.00, 14.00, 14.00, 14.00, 100
06/24/21, 14.00, 14.00, 14.00, 14.00, 400
06/23/21, 14.00, 14.00, 14.00, 14.00, 247300
06/17/21, 14.00, 14.00, 14.00, 14.00, 600
06/16/21, 14.00, 14.00, 14.00, 14.00, 8100
06/15/21, 14.00, 14.00, 14.00, 14.00, 67500
06/14/21, 14.00, 14.00, 14.00, 14.00, 266700
06/11/21, 15.00, 15.00, 13.55, 14.10, 700
06/10/21, 14.50, 15.00, 14.50, 14.75, 4400
06/09/21, 15.00, 15.00, 15.00, 15.00, 36800
06/08/21, 15.00, 15.00, 15.00, 15.00, 2100
06/07/21, 15.00, 15.00, 15.00, 15.00, 300
06/04/21, 14.00, 14.00, 14.00, 14.00, 12900
06/03/21, 13.85, 13.85, 13.85, 13.85, 2500
05/28/21, 14.10, 14.10, 13.55, 13.85, 200
05/27/21, 14.60, 14.60, 14.15, 14.45, 900
05/26/21, 14.05, 14.95, 13.20, 14.10, 9700
05/25/21, 14.95, 14.95, 14.20, 14.60, 4800
05/24/21, 14.50, 14.50, 14.50, 14.50, 2300
05/20/21, 15.00, 15.00, 15.00, 15.00, 500
05/19/21, 15.00, 15.00, 15.00, 15.00, 50000
05/18/21, 15.00, 15.00, 15.00, 15.00, 100
05/17/21, 14.80, 14.80, 14.75, 14.75, 1000
05/12/21, 15.50, 16.25, 15.50, 15.60, 1000
05/11/21, 16.20, 16.25, 16.20, 16.25, 800
05/10/21, 16.00, 16.00, 16.00, 16.00, 26000
05/07/21, 14.85, 14.85, 14.80, 14.80, 1400
05/04/21, 14.85, 16.00, 14.85, 16.00, 29700
05/03/21, 14.85, 14.85, 14.85, 14.85, 17300
04/30/21, 16.30, 16.30, 16.30, 16.30, 100
04/29/21, 15.15, 16.50, 15.15, 16.30, 6500
04/28/21, 15.50, 15.50, 15.50, 15.50, 700
04/26/21, 16.80, 16.80, 16.80, 16.80, 400
04/19/21, 15.40, 15.40, 15.40, 15.40, 500
04/15/21, 17.00, 17.00, 17.00, 17.00, 100
04/14/21, 17.00, 17.00, 16.90, 16.90, 115200
04/13/21, 17.00, 17.00, 17.00, 17.00, 4300
04/12/21, 17.10, 17.10, 17.10, 17.10, 5100
04/09/21, 17.10, 17.10, 17.10, 17.10, 200
04/07/21, 17.00, 17.00, 17.00, 17.00, 100
04/01/21, 17.00, 18.00, 17.00, 17.50, 62300
03/31/21, 17.50, 18.00, 17.50, 17.95, 6900
03/30/21, 17.55, 17.55, 17.50, 17.50, 2200
03/29/21, 17.50, 17.55, 17.50, 17.55, 3000
03/26/21, 17.50, 18.00, 17.50, 18.00, 52700
03/25/21, 18.00, 18.00, 17.65, 18.00, 119700
03/24/21, 17.50, 18.00, 17.50, 18.00, 106100
03/22/21, 18.00, 18.00, 17.50, 17.65, 1700
03/19/21, 17.50, 18.00, 17.50, 18.00, 38400
03/18/21, 18.00, 18.00, 18.00, 18.00, 500
03/17/21, 17.55, 18.00, 17.50, 17.75, 7500
03/16/21, 17.55, 17.55, 17.50, 17.50, 1600
03/15/21, 17.50, 17.55, 17.50, 17.55, 8100
03/12/21, 17.20, 18.00, 17.20, 17.95, 31000
03/11/21, 18.00, 18.00, 18.00, 18.00, 20000
03/10/21, 17.50, 18.00, 17.50, 17.95, 10700
03/09/21, 16.55, 17.50, 16.55, 17.30, 10000
03/08/21, 16.05, 16.05, 16.05, 16.05, 400
03/04/21, 16.05, 16.05, 16.00, 16.00, 23200
03/03/21, 16.05, 16.05, 16.00, 16.05, 14900
03/01/21, 17.00, 17.00, 17.00, 17.00, 4000
02/26/21, 16.00, 16.00, 16.00, 16.00, 1000
02/25/21, 15.55, 16.25, 15.55, 16.00, 300
02/24/21, 15.55, 16.00, 15.55, 15.65, 1500
02/23/21, 16.25, 16.25, 15.55, 15.55, 50100
02/18/21, 15.00, 15.00, 15.00, 15.00, 5600
02/17/21, 14.50, 15.00, 14.50, 14.90, 6500
02/16/21, 14.50, 14.50, 14.50, 14.50, 10100
02/15/21, 14.50, 14.50, 14.50, 14.50, 5200
02/11/21, 14.50, 14.50, 14.50, 14.50, 300
02/10/21, 14.50, 15.50, 14.50, 14.55, 7300
02/09/21, 15.50, 15.50, 15.50, 15.50, 400
02/08/21, 14.50, 14.50, 14.50, 14.50, 300
02/05/21, 15.50, 15.50, 15.00, 15.15, 15000
02/04/21, 15.50, 15.50, 15.50, 15.50, 7600
02/03/21, 16.50, 16.50, 16.50, 16.50, 7600
02/02/21, 16.50, 16.50, 15.50, 16.00, 2100
01/29/21, 15.65, 15.65, 15.65, 15.65, 1000
01/27/21, 15.60, 15.60, 15.60, 15.60, 300
01/26/21, 15.50, 15.50, 14.50, 14.85, 1800
01/25/21, 16.00, 16.00, 14.50, 15.60, 4700
01/22/21, 17.20, 17.20, 16.00, 16.05, 8400
01/21/21, 17.00, 17.00, 17.00, 17.00, 900
01/19/21, 17.50, 17.50, 17.45, 17.45, 2300
01/18/21, 17.00, 17.00, 17.00, 17.00, 100
01/15/21, 17.00, 17.00, 17.00, 17.00, 100
01/14/21, 17.00, 17.00, 15.70, 16.00, 900
01/12/21, 17.00, 17.45, 17.00, 17.35, 1300
01/11/21, 16.90, 16.90, 16.90, 16.90, 3400
01/08/21, 16.50, 16.50, 16.50, 16.50, 1000
01/06/21, 16.00, 16.00, 16.00, 16.00, 2200
12/31/20, 16.00, 16.00, 16.00, 16.00, 1000
12/30/20, 16.50, 16.95, 16.50, 16.85, 7200
12/29/20, 15.60, 15.90, 15.60, 15.85, 400
12/28/20, 15.00, 15.00, 15.00, 15.00, 7000
12/21/20, 15.95, 15.95, 15.00, 15.50, 400
12/16/20, 15.60, 15.60, 15.60, 15.60, 13400
12/14/20, 14.95, 14.95, 14.20, 14.90, 2000
