Date, Open, High, Low, Close, Volume
02/24/22, 1.17, 1.17, 1.16, 1.16, 11600
02/23/22, 1.17, 1.20, 1.17, 1.17, 7700
02/22/22, 1.20, 1.20, 1.15, 1.17, 10800
02/21/22, 1.20, 1.20, 1.12, 1.15, 26000
02/18/22, 1.20, 1.20, 1.20, 1.20, 2500
02/17/22, 1.20, 1.20, 1.18, 1.20, 3700
02/16/22, 1.20, 1.23, 1.15, 1.18, 13800
02/15/22, 1.23, 1.23, 1.20, 1.20, 6700
02/14/22, 1.20, 1.23, 1.20, 1.21, 400
02/11/22, 1.20, 1.25, 1.20, 1.23, 3300
02/10/22, 1.17, 1.25, 1.17, 1.24, 8500
02/09/22, 1.20, 1.20, 1.17, 1.17, 25400
02/08/22, 1.20, 1.20, 1.15, 1.18, 2100
02/07/22, 1.20, 1.20, 1.12, 1.20, 6500
02/04/22, 1.20, 1.20, 1.18, 1.20, 8300
02/03/22, 1.15, 1.20, 1.15, 1.19, 3100
02/02/22, 1.12, 1.15, 1.12, 1.13, 1000
02/01/22, 1.20, 1.20, 1.10, 1.17, 10200
01/31/22, 1.20, 1.20, 1.20, 1.20, 13600
01/28/22, 1.20, 1.20, 1.19, 1.20, 14500
01/27/22, 1.20, 1.20, 1.18, 1.20, 6200
01/26/22, 1.20, 1.20, 1.17, 1.19, 9400
01/25/22, 1.20, 1.26, 1.20, 1.20, 19800
01/24/22, 1.20, 1.25, 1.20, 1.20, 7800
01/21/22, 1.20, 1.25, 1.16, 1.20, 22800
01/20/22, 1.15, 1.25, 1.15, 1.17, 15500
01/19/22, 1.24, 1.24, 1.12, 1.18, 30600
01/18/22, 1.26, 1.26, 1.22, 1.24, 1000
01/17/22, 1.25, 1.25, 1.19, 1.24, 4400
01/14/22, 1.20, 1.21, 1.15, 1.19, 1700
01/13/22, 1.20, 1.21, 1.11, 1.19, 11200
01/12/22, 1.20, 1.21, 1.18, 1.20, 5300
01/11/22, 1.18, 1.21, 1.18, 1.20, 600
01/10/22, 1.19, 1.21, 1.10, 1.17, 11000
01/07/22, 1.25, 1.25, 1.20, 1.21, 14000
01/06/22, 1.28, 1.28, 1.25, 1.27, 2400
01/05/22, 1.20, 1.28, 1.19, 1.22, 21400
01/04/22, 1.20, 1.30, 1.20, 1.22, 7500
01/03/22, 1.32, 1.32, 1.18, 1.23, 2200
12/31/21, 1.29, 1.29, 1.20, 1.20, 11800
12/30/21, 1.29, 1.29, 1.20, 1.23, 13900
